Giá,Địa chỉ,Loại hình nhà ở,Diện tích đất,Chiều ngang,Chiều dài,Số phòng ngủ,Số phòng vệ sinh,Tổng số tầng,Giấy tờ pháp lý
"13,5 tỷ","Đường An Dương Vương, Phường 9, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",50 m²,N/A,N/A,6 phòng,N/A,N/A,Đã có sổ
25 tỷ,"Đường Nguyễn Trãi, Phường 3, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",90 m²,5 m,18 m,2 phòng,N/A,N/A,Đã có sổ
"11,5 tỷ","Trần Bình Trọng, Phường 1, Quận 5, Tp Hồ Chí Minh","Nhà mặt phố, mặt tiền",52 m²,N/A,N/A,10 phòng,N/A,N/A,Đã có sổ
"22,4 tỷ","Đường Nguyễn Chí Thanh, Phường 9, Quận 5, Tp Hồ Chí Minh","Nhà mặt phố, mặt tiền",54 m²,3.6 m,15 m,10 phòng,Nhiều hơn 6 phòng,6,Đã có sổ
"2,9 tỷ","Đường Ngô Quyền, Phường 6, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",40 m²,4 m,10 m,3 phòng,3 phòng,1,Đã có sổ
7 tỷ,"Đường Trần Phú, Phường 9, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",45 m²,3.6 m,12 m,6 phòng,5 phòng,2,Đã có sổ
4 tỷ,"Đường Trần Hưng Đạo, Phường 2, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",17 m²,3 m,6 m,2 phòng,N/A,N/A,Đã có sổ
13 tỷ,"Đường Nguyễn Tri Phương, Phường 9, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",60 m²,N/A,N/A,5 phòng,N/A,N/A,Đã có sổ
"4,5 tỷ","666, Đường Võ Văn Kiệt, Phường 1, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",20 m²,2.8 m,7.2 m,5 phòng,3 phòng,4,Đã có sổ
"3,29 tỷ","hà tôn quyền, Phường 7, Quận 5, Tp Hồ Chí Minh",Nhà phố liền kề,25 m²,5 m,5 m,3 phòng,3 phòng,4,Đã có sổ
"6,5 tỷ","900/, Đường Trần Hưng Đạo, Phường 7, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",49 m²,3.5 m,14 m,3 phòng,3 phòng,3,Đã có sổ
13 tỷ,"Đường Nguyễn Tri Phương, Phường 9, Quận 5, Tp Hồ Chí Minh",Nhà phố liền kề,51 m²,N/A,N/A,5 phòng,N/A,6,Đang chờ sổ
"7,5 tỷ","Đường Nguyễn Trãi, Phường 2, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",40 m²,4 m,10.5 m,4 phòng,4 phòng,4,Đã có sổ
"8,6 tỷ","Đường Võ Văn Kiệt, Phường Cầu Kho, Quận 1, Tp Hồ Chí Minh","Nhà ngõ, hẻm",57 m²,4.85 m,11 m,2 phòng,2 phòng,2,Đã có sổ
"11,5 tỷ","Đường Nguyễn Trãi, Phường 7, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",43 m²,3.3 m,13 m,5 phòng,6 phòng,4,Đã có sổ
"8,2 tỷ","Đường Huỳnh Mẫn Đạt, Phường 7, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",40 m²,3.3 m,12 m,5 phòng,N/A,N/A,Đã có sổ
12 tỷ,", Đường Nguyễn Trãi, Phường 7, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",58 m²,4 m,14.5 m,5 phòng,N/A,N/A,Đã có sổ
"13,5 tỷ","Đường Trần Bình Trọng, Phường 1, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",74 m²,3.9 m,19 m,5 phòng,5 phòng,4,Đã có sổ
"3,98 tỷ","Đường Trần Phú, Phường 5, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",62.4 m²,4.8 m,13 m,4 phòng,5 phòng,2,Đã có sổ
"4,19 tỷ","Đường Nguyễn Trãi, Phường 2, Quận 5, Tp Hồ Chí Minh",Nhà phố liền kề,50 m²,N/A,N/A,4 phòng,N/A,N/A,Đã có sổ
14 tỷ,"Đường An Bình, Phường 5, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",81 m²,8 m,10 m,nhiều hơn 10 phòng,Nhiều hơn 6 phòng,3,Đã có sổ
"16,5 tỷ","35, Đường Nguyễn Tri Phương, Phường 6, Quận 5, Tp Hồ Chí Minh","Nhà mặt phố, mặt tiền",43.6 m²,4.3 m,10 m,8 phòng,Nhiều hơn 6 phòng,6,Đã có sổ
"2,9 tỷ","Đường Trần Bình Trọng, Phường 10, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",20 m²,2 m,10 m,4 phòng,4 phòng,2,Đã có sổ
34 tỷ,"Đường Nguyễn Trãi, Phường 7, Quận 5, Tp Hồ Chí Minh","Nhà mặt phố, mặt tiền",53.9 m²,4 m,13.5 m,5 phòng,Nhiều hơn 6 phòng,5,Đã có sổ
12 tỷ,"Đường Hà Tôn Quyền, Phường 12, Quận 5, Tp Hồ Chí Minh","Nhà mặt phố, mặt tiền",54 m²,N/A,N/A,2 phòng,2 phòng,N/A,Đã có sổ
9 triệu/tháng,"299/15/9B, Bình Thành, Phường Bình Hưng Hoà B, Quận Bình Tân, Tp Hồ Chí Minh","Nhà ngõ, hẻm",76 m²,4 m,19 m,4 phòng,3 phòng,4,Đã có sổ
13 tỷ,"Đường Nguyễn Tri Phương, Phường 9, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",60 m²,4 m,13.5 m,5 phòng,5 phòng,5,Đã có sổ
"2,6 tỷ","Đường Trần Hưng Đạo, Phường 2, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",12 m²,3.2 m,4 m,2 phòng,2 phòng,N/A,Đã có sổ
"5,2 tỷ","Đường Trần Bình Trọng, Phường 1, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",20.25 m²,N/A,N/A,2 phòng,3 phòng,2,Đã có sổ
"44,9 tỷ","Đường Trần Hưng Đạo, Phường 2, Quận 5, Tp Hồ Chí Minh","Nhà mặt phố, mặt tiền",102 m²,4.1 m,25 m,2 phòng,1 phòng,N/A,Đã có sổ
17 tỷ,"Đường Trần Bình Trọng, Phường 5, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",76 m²,N/A,N/A,4 phòng,N/A,N/A,Đã có sổ
"4,3 tỷ","Nguyễn Văn Cừ, Phường 2, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",21 m²,3.5 m,6 m,3 phòng,3 phòng,5,Đã có sổ
"3,98 tỷ","Trần Hưng Đạo, Phường 2, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",27 m²,N/A,N/A,2 phòng,2 phòng,N/A,Đã có sổ
"9,1 tỷ","Hồ Thị Kỷ, Phường 1, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",48 m²,3.7 m,13 m,3 phòng,4 phòng,4,Đã có sổ
"9,09 tỷ","Đường Nguyễn Trãi, Phường 7, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",40 m²,N/A,N/A,5 phòng,6 phòng,N/A,Đã có sổ
"7,1 tỷ","Đường Nguyễn Trãi, Phường 2, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",39 m²,3.9 m,10 m,4 phòng,4 phòng,4,Đã có sổ
"6,5 tỷ","Đường Nguyễn Trãi, Phường 2, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",23.1 m²,3.6 m,6.8 m,3 phòng,3 phòng,3,Đã có sổ
5 tỷ,"Đường Nguyễn Trãi, Phường 2, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",26 m²,N/A,N/A,3 phòng,4 phòng,4,Đã có sổ
"7,499 tỷ","Đường Nguyễn Chí Thanh, Phường 12, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",81 m²,5.2 m,14.5 m,4 phòng,5 phòng,4,Đã có sổ
"4,4 tỷ","Đường Võ Văn Kiệt, Phường 1, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",23 m²,3 m,9 m,2 phòng,1 phòng,1,Đã có sổ
"5,68 tỷ","Đường Huỳnh Mẫn Đạt, Phường 2, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",23.8 m²,N/A,N/A,2 phòng,2 phòng,1,Đã có sổ
"3,35 tỷ","Đường Nguyễn Chí Thanh, Phường 12, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",20 m²,2 m,10 m,4 phòng,4 phòng,2,Đã có sổ
6 tỷ,"Đường Trần Hưng Đạo, Phường 1, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",38 m²,3 m,12.5 m,3 phòng,2 phòng,3,Đã có sổ
6 tỷ,"Đường Hoàng Hoa Thám, Phường Bưởi, Quận Tây Hồ, Hà Nội","Nhà ngõ, hẻm",31 m²,N/A,N/A,4 phòng,3 phòng,5,Đã có sổ
"12,5 tỷ","Đường Nguyễn Tri Phương, Phường 9, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",54 m²,4 m,13.5 m,5 phòng,5 phòng,5,Đã có sổ
13 tỷ,"Đường Nguyễn Tri Phương, Phường 9, Quận 5, Tp Hồ Chí Minh","Nhà mặt phố, mặt tiền",51 m²,4 m,13 m,4 phòng,4 phòng,4,Đang chờ sổ
"3,96 tỷ","trần Phú, Phường 4, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",20.1 m²,N/A,N/A,2 phòng,2 phòng,2,Đã có sổ
"3,15 tỷ","Đường An Dương Vương, Phường 9, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",75.6 m²,N/A,N/A,4 phòng,N/A,N/A,Đã có sổ
"10,9 tỷ","Nguyễn Văn Đừng, Phường 6, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",55.8 m²,3.6 m,15.5 m,2 phòng,N/A,4,Đã có sổ
"1,8 triệu/tháng","Đường Nguyễn Quyền, Phường Hòa An, Quận Cẩm Lệ, Đà Nẵng",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"3,88 tỷ","Trần Phú, Phường 14, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",40 m²,4 m,10 m,5 phòng,N/A,N/A,Đã có sổ
"6,9 tỷ","Đường Dương Tử Giang, Phường 12, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",65 m²,4.4 m,15 m,2 phòng,3 phòng,3,Đã có sổ
13 tỷ,"160, Đường Nguyễn Tri Phương, Phường 9, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",51 m²,N/A,N/A,5 phòng,N/A,N/A,Đã có sổ
"4,7 tỷ","Đường Trần Bình Trọng, Phường 1, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",21 m²,3 m,7.7 m,3 phòng,3 phòng,4,Đã có sổ
"13,5 tỷ","Đường An Bình, Phường 6, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",68 m²,4 m,17 m,6 phòng,6 phòng,N/A,Đã có sổ
"9,799 tỷ","Đường Trần Tuấn Khải, Phường 5, Quận 5, Tp Hồ Chí Minh","Nhà mặt phố, mặt tiền",32 m²,3 m,11 m,2 phòng,3 phòng,4,Đã có sổ
"10,2 tỷ","Trần Bình Trọng, Phường 2, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",56.6 m²,4 m,12 m,4 phòng,5 phòng,3,Đã có sổ
"12,5 tỷ","Đường Nguyễn Tri Phương, Phường 9, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",50 m²,4 m,13 m,5 phòng,N/A,5,Đã có sổ
"3,87 tỷ","Đường Trần Phú, Phường 2, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",65 m²,5 m,13 m,3 phòng,N/A,N/A,Đã có sổ
"4,25 tỷ","Đường Huỳnh Mẫn Đạt, Phường 5, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",54.6 m²,5.5 m,10 m,4 phòng,4 phòng,2,Đã có sổ
"4,45 tỷ","Đường Phan Văn Trị, Phường 12, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",54.5 m²,5.4 m,10 m,4 phòng,5 phòng,2,Đã có sổ
"2,88 tỷ","Bán Nhà Hẻm 48/nguyễn Biểu P1 Q5., Phường 1, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",24 m²,3 m,8 m,2 phòng,2 phòng,1,Đã có sổ
"5,18 tỷ","Đường Cao Đạt, Phường 1, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",48 m²,N/A,N/A,4 phòng,5 phòng,3,Đã có sổ
"4,8 tỷ","Đường Lê Hồng Phong, Phường 3, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",30 m²,3.9 m,9 m,2 phòng,2 phòng,N/A,Đã có sổ
"4,68 tỷ","Trần Tuấn Khải, Phường 13, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",86.8 m²,6.2 m,14 m,5 phòng,N/A,N/A,Đã có sổ
"6,3 tỷ","Đường Trần Hưng Đạo, Phường 2, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",24 m²,3 m,8 m,3 phòng,3 phòng,4,Đã có sổ
9 tỷ,"Đường Phan Văn Trị, Phường 2, Quận 5, Tp Hồ Chí Minh","Nhà mặt phố, mặt tiền",28 m²,3.5 m,8 m,2 phòng,3 phòng,3,Đã có sổ
10 tỷ,"Đường Nguyễn Văn Đừng, Phường 5, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",52.85 m²,3.8 m,14 m,2 phòng,1 phòng,1,Đã có sổ
"3,86 tỷ","Đường An Bình, Phường 5, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",30 m²,3 m,10 m,4 phòng,5 phòng,5,Đã có sổ
"7,3 tỷ","Đường Nguyễn Trãi, Phường 2, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",40.7 m²,N/A,N/A,5 phòng,N/A,N/A,Đã có sổ
"3,55 tỷ","Đường Trần Tuấn Khải, Phường 5, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",10 m²,N/A,N/A,3 phòng,N/A,N/A,Đã có sổ
"3,9 tỷ","Đường Võ Văn Kiệt, Phường 5, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",39 m²,3.7 m,10 m,2 phòng,2 phòng,2,Đã có sổ
"13,5 tỷ","Đường An Bình, Phường 6, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",70 m²,4 m,17 m,7 phòng,5 phòng,5,Đã có sổ
"3,86 tỷ","Đường Trần Bình Trọng, Phường 2, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",30 m²,3 m,10 m,4 phòng,4 phòng,2,Đã có sổ
"3,58 tỷ","Đường Nguyễn Trãi, Phường 3, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",375 m²,N/A,N/A,4 phòng,N/A,N/A,Đã có sổ
"23,5 tỷ","Đường Trần Tuấn Khải, Phường 5, Quận 5, Tp Hồ Chí Minh","Nhà mặt phố, mặt tiền",55 m²,N/A,N/A,4 phòng,N/A,N/A,Đã có sổ
"4,35 tỷ","Đường Nguyễn Văn Cừ, Phường 2, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",31.5 m²,3.5 m,9 m,3 phòng,N/A,N/A,Đã có sổ
"3,98 tỷ","Đường Trần Hưng Đạo, Phường 2, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",26.9 m²,5 m,6 m,2 phòng,2 phòng,3,Đã có sổ
13 tỷ,"Đường Nguyễn Tri Phương, Phường 9, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",60 m²,N/A,N/A,5 phòng,3 phòng,N/A,Đã có sổ
"4,99 tỷ","Đường Nguyễn Trãi, Phường 2, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",30 m²,3 m,10 m,3 phòng,3 phòng,4,Đã có sổ
"9,7 tỷ","Đường Nguyễn Trãi, Phường 7, Quận 5, Tp Hồ Chí Minh",Nhà phố liền kề,49 m²,3.5 m,14 m,5 phòng,5 phòng,5,Đã có sổ
"10,5 tỷ","117, Đường Nguyễn Sơn, Phường Gia Thụy, Quận Long Biên, Hà Nội",Nhà phố liền kề,55 m²,4.5 m,N/A,4 phòng,4 phòng,5,Đã có sổ
"5,98 tỷ","Đường Trần Hưng Đạo, Phường 1, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",30 m²,3.7 m,8.3 m,2 phòng,3 phòng,4,Đã có sổ
"7,6 tỷ","Đường Dương Tử Giang, Phường 12, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",65 m²,N/A,N/A,3 phòng,3 phòng,N/A,Đã có sổ
"4,9 tỷ","Đường Trần Hưng Đạo, Phường 7, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",39 m²,3 m,13.2 m,3 phòng,3 phòng,3,Đã có sổ
28 tỷ,"Đường An Dương Vương, Phường 4, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",110 m²,N/A,N/A,3 phòng,N/A,N/A,Đã có sổ
"11,5 tỷ","Đường An Dương Vương, Phường 9, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",50 m²,N/A,N/A,4 phòng,N/A,N/A,Đã có sổ
"3,25 tỷ","Đường Ngô Quyền, Phường 6, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",10 m²,N/A,N/A,3 phòng,N/A,N/A,Đã có sổ
4 tỷ,"gần đường An Dương Vương, Phường 4, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",22 m²,3.2 m,7 m,3 phòng,N/A,N/A,Đã có sổ
"11,5 tỷ","Đường Nguyễn Trãi, Phường 2, Quận 5, Tp Hồ Chí Minh",Nhà phố liền kề,50 m²,4 m,15 m,4 phòng,N/A,N/A,Đã có sổ
"4,8 tỷ","Đường Lê Hồng Phong, Phường 3, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",30 m²,4 m,9 m,2 phòng,2 phòng,2,Đã có sổ
"2,4 tỷ","Đường Hồng Bàng, Phường 12, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",47.96 m²,N/A,N/A,4 phòng,N/A,N/A,Đã có sổ
"4,99 tỷ","750, Đường Võ Văn Kiệt, Phường 1, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",30 m²,3.7 m,8 m,2 phòng,3 phòng,4,Đã có sổ
"3,75 tỷ","Đường Lê Hồng Phong, Phường 14, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",40.5 m²,4.5 m,9 m,3 phòng,4 phòng,N/A,Đã có sổ
"8,2 tỷ","Đường Nguyễn Thị Nhỏ, Phường 14, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",30 m²,3.1 m,9.4 m,4 phòng,3 phòng,N/A,Đã có sổ
"9,3 tỷ","Đường số 27, Phường Hiệp Bình Chánh (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",N/A,100 m²,4.5 m,22 m,N/A,N/A,N/A,Đã có sổ
"1,85 tỷ","Đường Lê Văn Thịnh, Phường Bình Trưng Tây (Quận 2 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","Nhà ngõ, hẻm",31 m²,N/A,N/A,2 phòng,2 phòng,2,Đã có sổ
9 tỷ,"Đường Trần Phú, Phường 7, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",40 m²,11 m,4 m,6 phòng,3 phòng,2,Sổ chung / công chứng vi bằng
"3,35 tỷ","Đường Lê Hồng Phong, Phường 2, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",44 m²,4 m,11 m,4 phòng,N/A,N/A,Đã có sổ
160 triệu,"QL14, Xã Đồng Tiến, Huyện Đồng Phú, Bình Phước",N/A,1000 m²,10 m,100 m,N/A,N/A,N/A,Đã có sổ
"2,99 tỷ","Đường Bùi Hữu Nghĩa, Phường 7, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",20 m²,4.5 m,4 m,4 phòng,4 phòng,4,Đã có sổ
9 tỷ,"Đường Phan Văn Trị, Phường 2, Quận 5, Tp Hồ Chí Minh","Nhà mặt phố, mặt tiền",23 m²,3.3 m,7 m,2 phòng,N/A,N/A,Đã có sổ
"10,8 tỷ","Đường Võ Văn Kiệt, Phường 5, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",45.3 m²,3.6 m,12.6 m,4 phòng,3 phòng,N/A,Đã có sổ
